iter	Passed	Remaining
0	149	148963
1	155	77640
2	161	53589
3	165	41311
4	171	34178
5	181	30089
6	190	27015
7	199	24687
8	206	22733
9	218	21588
10	226	20331
11	236	19442
12	242	18443
13	251	17717
14	257	16883
15	261	16094
16	267	15448
17	272	14881
18	278	14391
19	284	13932
20	289	13497
21	295	13120
22	299	12732
23	304	12399
24	310	12099
25	315	11812
26	320	11540
27	325	11300
28	331	11087
29	337	10900
30	342	10697
31	347	10509
32	352	10336
33	358	10176
34	363	10025
35	369	9905
36	375	9783737	381	9643838	386	9533939	392	9414040	397	9294141	405	9260
42	414	9228
43	420	9136
44	425	9035
45	430	8930
46	435	8835
47	441	8765
48	447	8683
49	454	8634
50	459	8554
51	466	8512
52	472	8436
53	477	8359
54	483	8306
55	489	8247
56	496	8221
57	501	8151
58	507	8092
59	512	8029
60	517	7961
61	522	7909
62	527	7850
63	533	7796
64	539	7762
65	548	7762
66	555	7738
67	562	7716
68	571	7715
69	587	7801
70	594	7780
71	601	7751
72	607	7715
73	614	7688
74	621	7669
75	626	7621
76	633	7595
77	641	7586
78	651	7593
79	659	7587
80	666	7563
81	671	7522
82	677	7483
83	683	7450
84	688	7413
85	693	7372
86	698	7333
87	703	7294
88	708	7256
89	714	7219
90	720	7198
91	726	7167
92	731	7134
93	736	7102
94	742	7075
95	748	7046
96	753	7016
97	759	6987
98	764	6955
99	769	6923
100	774	6894
101	779	6864
102	786	6849
103	791	6822
104	797	6795
105	807	6806
106	813	6787
107	820	6777
108	825	6751
109	831	6731
110	837	6709
111	843	6686
112	848	6662
113	854	6643
114	859	6618
115	866	6600
116	872	6582
117	879	6574
118	888	6578
119	895	6570
120	903	6565
121	909	6543
122	916	6535
123	923	6522
124	929	6508
125	936	6495
126	943	6486
127	950	6478
128	961	6492
129	969	6486
130	979	6497
131	987	6493
132	996	6495
133	1005	6496
134	1012	6490
135	1021	6491
136	1028	6479
137	1039	6495
138	1051	6511
139	1063	6531
140	1073	6541
141	1084	6551
142	1098	6581
143	1103	6557
144	1108	6534
145	1112	6509
146	1117	6486
147	1122	6464
148	11214149	1149	11315150	1143	64315151	1151	64215152	1160	64215153	1172	64415154	1182	64415155	1201	65015156	1215	65215157	1225	65215158	1238	6551
159	1251	65716160	1265	65916161	1285	6651
162	1299	6673
163	1311	6687
164	1317	6665
165	1321	6641
166	1326	6618
167	1331	6596
168	1336	6572
169	1341	6549
170	1345171	17171	1350	65017172	1355173	13173	1360174	13174	1365175	13175	1371	6419
176	1376	6398
177	1380178	13178	1385	6356
179	1390180	13180	1395181	13181	1401182	13182	1407	6281
183	1412	6263
184	1418	6249
185	1424	6233
186	1430	6217
187	1434	6197
188	1440	6181
189	1445	6162
190	1451	6150
191	1458	6138
192	1465	6128
193	1474	6124
194	1480	6113
195	1486	6096
196	1492197	14197	1498198	14198	1506199	15199	1512200	15200	1518201	15201	1524202	15202	1530	6008
203	1537	5999
204	1546	5997
205	1553	5986
206	1561	5980
207	1567	5969
