age,gender,inflow,style,category
17,0,0,2,1
19,1,0,0,0
24,0,1,1,2
26,1,0,1,3
32,0,2,1,4
35,1,2,1,5
16,0,0,2,6
45,0,2,1,7
22,1,0,2,0
28,0,1,0,2
31,1,1,1,3
42,0,2,1,4
50,1,2,1,5
18,1,0,2,1
25,0,0,0,0
29,1,1,0,2
34,0,1,1,4
38,1,2,1,5
21,0,0,2,6
48,1,2,1,7
23,1,0,0,0
27,0,1,1,2
33,1,2,1,3
40,0,2,1,4
55,1,2,1,5
15,0,0,2,1
20,1,0,0,6
43,0,1,0,7
26,0,0,0,0
30,1,1,1,3
36,0,2,1,4
47,1,2,1,5
19,0,0,2,6
39,1,1,1,7
22,0,0,0,0
25,1,1,0,2
32,1,1,1,3
41,0,2,1,4
52,1,2,1,5
18,0,0,2,1
24,1,0,0,6
46,0,2,1,7
28,1,0,0,0
31,0,1,1,2
35,1,1,1,3
44,0,2,1,4
49,1,2,1,5
17,1,0,2,6
37,0,1,0,7
23,0,0,0,0
29,1,1,1,3
34,1,2,1,4
38,0,2,1,5
21,1,0,2,1
42,1,2,1,7
20,0,0,0,0
27,1,1,0,2
33,0,1,1,4
45,1,2,1,5
16,1,0,2,6
40,1,2,0,7
25,1,0,0,0
28,0,1,1,2
36,1,1,1,3
51,0,2,1,4
54,1,2,1,5
19,1,0,2,1
24,0,0,2,6
48,0,2,1,7
30,0,1,0,2
35,0,1,1,4
43,1,2,1,5
18,0,0,2,6
39,0,1,1,7
22,1,0,0,0
26,0,1,0,2
32,0,1,1,4
47,0,2,1,5
15,1,0,2,1
23,0,0,0,6
44,1,2,1,7
27,1,0,0,0
31,1,1,1,3
37,1,1,1,4
49,0,2,1,5
17,0,0,2,1
41,1,2,1,7
21,1,0,0,0
29,0,1,1,2
34,0,2,1,4
46,1,2,1,5
20,1,0,2,6
38,0,1,0,7
25,0,0,0,2
33,1,1,1,3
16,0,0,2,0
18,1,0,0,0
20,0,0,0,0
22,1,0,2,0
17,0,0,0,0
19,1,0,0,0
21,0,0,2,0
23,1,0,0,0
24,0,0,0,0
15,1,0,2,0
16,1,0,0,0
20,0,1,0,0
18,0,0,2,0
22,0,0,0,0
19,0,0,0,0
17,1,0,2,0
25,1,1,0,0
21,1,0,0,0
23,0,0,2,0
24,1,0,0,0
15,0,0,2,1
18,0,0,2,1
20,1,0,2,1
22,0,0,2,1
16,1,0,2,1
19,0,0,2,1
23,1,0,2,1
17,1,0,2,1
21,0,0,2,1
